setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-03-11,2024-03-12,A17U.SI,CapLand Ascendas REIT,2.5218,2.4943,2.4943,2.5402,2.4851,2.5218,2.4851,0,-0.014545,0.2,-0.1,Contracting,0.25,0.38,0,0,0.04
2024-03-18,2024-03-19,A17U.SI,CapLand Ascendas REIT,2.4576,2.4393,2.4576,2.4668,2.4393,2.4576,2.4393,0,-0.007463,0.2,0.0,Flat,0.3333,0.38,0,0,0.16
2024-03-19,2024-03-20,A17U.SI,CapLand Ascendas REIT,2.4668,2.4393,2.4485,2.4851,2.476,2.4668,2.476,1,0.003717,0.2,0.0,Flat,0.25,0.38,0,0,0.32
2024-03-21,2024-03-22,A17U.SI,CapLand Ascendas REIT,2.5218,2.5035,2.5218,2.5402,2.5127,2.5218,2.5127,0,-0.003636,0.3,0.1,Expanding,0.5,0.38,1,0,0.56
2024-03-25,2024-03-26,A17U.SI,CapLand Ascendas REIT,2.5402,2.5127,2.5127,2.5493,2.5402,2.5402,2.5402,1,0.0,0.3,0.0,Flat,0.25,0.38,0,0,0.3
2024-03-26,2024-03-27,A17U.SI,CapLand Ascendas REIT,2.5493,2.5402,2.5493,2.5677,2.5402,2.5493,2.5402,0,-0.003597,0.4,0.1,Expanding,0.8333,0.38,0,0,0.74
2024-03-27,2024-03-28,A17U.SI,CapLand Ascendas REIT,2.5677,2.5402,2.5677,2.5952,2.5402,2.5677,2.5402,0,-0.010714,0.4,0.0,Flat,0.25,0.38,1,0,0.56
2024-04-03,2024-04-04,A17U.SI,CapLand Ascendas REIT,2.5218,2.5035,2.5127,2.5402,2.5127,2.5218,2.5127,0,-0.003636,0.5,0.0,Flat,0.3333,0.38,0,0,0.32
2024-04-22,2024-04-23,A17U.SI,CapLand Ascendas REIT,2.3751,2.3384,2.3568,2.3934,2.3751,2.3751,2.3751,0,-0.0,0.1,-0.1,Contracting,0.3333,0.08,0,1,0.98
2024-05-02,2024-05-03,A17U.SI,CapLand Ascendas REIT,2.3843,2.3751,2.3751,2.3934,2.3292,2.3843,2.3292,0,-0.023077,0.2,0.0,Flat,0.8,0.08,0,0,0.76
