,Code,Shortname,Volume,%Chg,Open,High,Low,Last,
,A17U.SG,CAPLAND ASCENDAS REIT.SG,5434.2,,2.85,2.87,2.84,2.85,
,C38U.SG,CAPLAND INTCOM T.SG,9092.4,,2.36,2.37,2.34,2.35,
,M44U.SG,MAPLETREE LOG TR.SG,10102.6,+0.78,1.28,1.29,1.28,1.29,
,ME8U.SG,MAPLETREE IND TR.SG,4893.5,-0.93,2.16,2.17,2.14,2.14,
,AJBU.SG,KEPPEL DC REIT.SG,6784.5,-0.83,2.40,2.40,2.37,2.38,
,J69U.SG,FRASERS CPT TR.SG,1601.5,,2.37,2.39,2.37,2.37,
,N2IU.SG,MAPLETREE PANASIA COM TR.SG,8221.2,-0.68,1.46,1.46,1.44,1.45,
,BUOU.SG,FRASERS L&C TR.SG,9088.9,-0.52,0.975,0.975,0.960,0.965,
,K71U.SG,KEPPEL REIT.SG,3654.3,-0.96,1.03,1.04,1.02,1.03,
,JYEU.SG,LENDLEASE REIT.SG,13859.6,+0.78,0.645,0.655,0.645,0.650,
,HMN.SG,CAPLAND ASCOTT T.SG,6195,-1.04,0.965,0.965,0.955,0.955,
,NTDU.SG,NTT DC REIT USD.SG,5565.7,,1.02,1.03,1.01,1.02,
,8C8U.SG,CENT ACCOM REIT.SG,6131.7,-0.96,1.04,1.04,1.03,1.03,
,AU8U.SG,CAPLAND CHINA T.SG,2986.6,-0.63,0.795,0.805,0.790,0.795,
,9CI.SG,CAPITALANDINVEST.SG,4359.2,-0.37,2.72,2.73,2.71,2.71,
,Z25.SG,YANLORD LAND.SG,2908.3,-1.32,0.755,0.755,0.735,0.745,
,AWX.SG,AEM SGD.SG,22608.3,-8.82,2.04,2.04,1.85,1.86,
,E28.SG,FRENCKEN.SG,5199.6,-1.97,1.53,1.53,1.46,1.49,
,558.SG,UMS.SG,4316.1,-2.68,1.49,1.49,1.44,1.45,
,MZH.SG,NANOFILM.SG,2795.9,-2.55,0.785,0.785,0.755,0.765,
,BN2.SG,VALUETRONICS.SG,330.8,-1.78,0.845,0.845,0.830,0.830,
,Z74.SG,SINGTEL.SG,14789,-0.94,4.25,4.25,4.18,4.21,
,YF8.SG,YZJ FIN HLDG.SG,11816.6,-2.48,1.21,1.21,1.17,1.18,
,BS6.SG,YZJ SHIPBLDG SGD.SG,15789.6,+0.90,3.35,3.39,3.34,3.38,
,5E2.SG,SEATRIUM LTD.SG,10025.9,+0.41,2.47,2.49,2.45,2.47,
,S58.SG,SATS.SG,2716.3,-0.28,3.52,3.53,3.49,3.52,
,OV8.SG,SHENG SIONG.SG,1498.6,-0.47,2.12,2.13,2.11,2.11,
,F34.SG,WILMAR INTL.SG,7603.2,-0.70,2.87,2.87,2.84,2.85,
,EB5.SG,FIRST RESOURCES.SG,980,-0.58,1.71,1.74,1.69,1.70,
,P8Z.SG,BUMITAMA AGRI.SG,1650.9,+1.80,1.13,1.14,1.11,1.13,
,5TP.SG,CNMC GOLDMINE.SG,20068.7,+13.68,1.22,1.35,1.22,1.33,
,C52.SG,COMFORTDELGRO.SG,9919.9,,1.47,1.48,1.46,1.47,
,G13.SG,GENTING SING.SG,63704.3,-0.68,0.730,0.735,0.720,0.725,
,S08.SG,SINGPOST.SG,5683.1,-1.19,0.420,0.425,0.415,0.415,
,5LY.SG,MARCOPOLO MARINE.SG,19857.4,,0.079,0.081,0.078,0.079,
,DU4.SG,MERMAID MARITIME.SG,1610.6,-1.59,0.127,0.127,0.124,0.124,
,5WH.SG,REX INTL.SG,5796.7,+0.57,0.175,0.176,0.173,0.175,
,S56.SG,SAMUDERASHIPPING.SG,536.9,-1.04,0.960,0.965,0.955,0.955,
,AP4.SG,RIVERSTONE.SG,3802.7,-1.33,0.760,0.760,0.730,0.740,
,544.SG,CSE GLOBAL.SG,1954.6,-1.34,0.750,0.755,0.735,0.735,
,G92.SG,CHINA AVIATION.SG,759.8,-0.75,1.35,1.35,1.31,1.33,
,RXS.SG,PACIFICRADIANCE.SG,5445.7,,0.109,0.110,0.105,0.105,
,41O.SG,LHN.SG,1208.3,-2.08,0.960,0.965,0.940,0.940,
,OYY.SG,PROPNEX.SG,1574.6,,2.34,2.42,2.33,2.34,
,CLN.SG,APAC REALTY.SG,635.7,-2.24,0.670,0.670,0.650,0.655,
,ER0.SG,KSH.SG,358.3,-1.32,0.380,0.380,0.370,0.375,
,1E3.SG,SANLI ENV.SG,2733.5,-1.75,0.285,0.285,0.275,0.280,
,E3B.SG,WEE HUR.SG,3755.6,,0.740,0.750,0.730,0.740,
,P52.SG,PANUNITED.SG,271.5,-1.69,1.18,1.18,1.14,1.16,
,F9D.SG,BOUSTEAD.SG,380.5,-0.57,1.76,1.76,1.73,1.74,
,OU8.SG,CENTURION.SG,2603.4,-2.63,1.52,1.55,1.47,1.48,
,QC7.SG,Q&M DENTAL.SG,474.4,-1.09,0.460,0.460,0.450,0.455,
,QES.SG,CHINASUNSINE.SG,361,,0.780,0.790,0.780,0.780,
,RE4.SG,GEO ENERGY RES.SG,12579.4,-2.04,0.495,0.495,0.475,0.480,
,5WV.SG,ASIAPHOS.SG,4420.1,-7.14,0.014,0.014,0.013,0.013,
