,Code,Shortname,Volume,%Chg,Open,High,Low,Last,
,A17U.SG,CAPLAND ASCENDAS REIT.SG,9678.2,+0.71,2.84,2.86,2.83,2.85,
,C38U.SG,CAPLAND INTCOM T.SG,14691,-0.42,2.36,2.38,2.35,2.35,
,M44U.SG,MAPLETREE LOG TR.SG,14194.7,,1.28,1.30,1.28,1.28,
,ME8U.SG,MAPLETREE IND TR.SG,5098.7,+0.47,2.15,2.17,2.14,2.16,
,AJBU.SG,KEPPEL DC REIT.SG,4313.1,,2.41,2.41,2.39,2.40,
,J69U.SG,FRASERS CPT TR.SG,3155.8,+0.85,2.35,2.38,2.35,2.37,
,N2IU.SG,MAPLETREE PANASIA COM TR.SG,3880.4,+0.69,1.45,1.48,1.45,1.46,
,BUOU.SG,FRASERS L&C TR.SG,13047.1,,0.975,0.980,0.965,0.970,
,K71U.SG,KEPPEL REIT.SG,3461.5,+0.97,1.04,1.04,1.03,1.04,
,JYEU.SG,LENDLEASE REIT.SG,9398.9,+1.57,0.640,0.650,0.640,0.645,
,HMN.SG,CAPLAND ASCOTT T.SG,11671,+1.58,0.955,0.970,0.950,0.965,
,NTDU.SG,NTT DC REIT USD.SG,3305.3,+0.99,1.00,1.02,1.00,1.02,
,8C8U.SG,CENT ACCOM REIT.SG,12410.9,,1.04,1.04,1.03,1.04,
,AU8U.SG,CAPLAND CHINA T.SG,1731.6,+1.27,0.795,0.800,0.790,0.800,
,9CI.SG,CAPITALANDINVEST.SG,6335.7,,2.72,2.73,2.70,2.72,
,Z25.SG,YANLORD LAND.SG,1813.4,+0.67,0.750,0.760,0.745,0.755,
,AWX.SG,AEM SGD.SG,13442.1,+6.25,1.93,2.04,1.88,2.04,
,E28.SG,FRENCKEN.SG,9054.7,+4.11,1.46,1.53,1.46,1.52,
,558.SG,UMS.SG,6848.7,+2.76,1.45,1.50,1.45,1.49,
,MZH.SG,NANOFILM.SG,3689,+1.95,0.770,0.790,0.760,0.785,
,BN2.SG,VALUETRONICS.SG,1162.5,,0.845,0.855,0.825,0.845,
,Z74.SG,SINGTEL.SG,21442.5,+1.19,4.22,4.27,4.16,4.25,
,YF8.SG,YZJ FIN HLDG.SG,22329.7,+1.68,1.19,1.21,1.17,1.21,
,BS6.SG,YZJ SHIPBLDG SGD.SG,19860.5,,3.35,3.35,3.29,3.35,
,5E2.SG,SEATRIUM LTD.SG,17588.2,+0.41,2.45,2.47,2.42,2.46,
,S58.SG,SATS.SG,5645.9,+0.86,3.50,3.53,3.48,3.53,
,OV8.SG,SHENG SIONG.SG,3292.3,,2.12,2.15,2.09,2.12,
,F34.SG,WILMAR INTL.SG,6558.1,-0.35,2.87,2.89,2.86,2.87,
,EB5.SG,FIRST RESOURCES.SG,2000.1,,1.72,1.74,1.70,1.71,
,P8Z.SG,BUMITAMA AGRI.SG,1422.3,-1.77,1.13,1.14,1.11,1.11,
,5TP.SG,CNMC GOLDMINE.SG,12210.4,+1.74,1.15,1.20,1.13,1.17,
,C52.SG,COMFORTDELGRO.SG,9050.5,+0.68,1.47,1.48,1.46,1.47,
,G13.SG,GENTING SING.SG,38625.6,-0.68,0.730,0.740,0.730,0.730,
,S08.SG,SINGPOST.SG,7505.4,,0.420,0.425,0.415,0.420,
,5LY.SG,MARCOPOLO MARINE.SG,34896.8,,0.080,0.081,0.078,0.079,
,DU4.SG,MERMAID MARITIME.SG,1234.9,-0.79,0.128,0.128,0.125,0.126,
,5WH.SG,REX INTL.SG,4638,,0.174,0.175,0.173,0.174,
,S56.SG,SAMUDERASHIPPING.SG,429.1,+0.52,0.960,0.965,0.955,0.965,
,AP4.SG,RIVERSTONE.SG,1464.3,+0.67,0.750,0.755,0.745,0.750,
,544.SG,CSE GLOBAL.SG,6024.5,+1.36,0.735,0.755,0.735,0.745,
,G92.SG,CHINA AVIATION.SG,789.1,,1.34,1.35,1.32,1.34,
,RXS.SG,PACIFICRADIANCE.SG,6899.7,-3.67,0.111,0.112,0.104,0.105,
,41O.SG,LHN.SG,637.1,,0.955,0.965,0.945,0.960,
,OYY.SG,PROPNEX.SG,903.7,-0.85,2.36,2.38,2.32,2.34,
,CLN.SG,APAC REALTY.SG,149.7,,0.670,0.680,0.670,0.670,
,ER0.SG,KSH.SG,2217.4,+1.33,0.375,0.385,0.375,0.380,
,1E3.SG,SANLI ENV.SG,2057.3,,0.285,0.290,0.280,0.285,
,E3B.SG,WEE HUR.SG,2162.2,+0.68,0.735,0.745,0.730,0.740,
,P52.SG,PANUNITED.SG,363.5,+1.72,1.17,1.18,1.16,1.18,
,F9D.SG,BOUSTEAD.SG,819.4,+2.34,1.74,1.77,1.72,1.75,
,OU8.SG,CENTURION.SG,2223.8,-0.65,1.54,1.54,1.51,1.52,
,QC7.SG,Q&M DENTAL.SG,264.5,,0.460,0.465,0.455,0.460,
,QES.SG,CHINASUNSINE.SG,304.3,-1.27,0.790,0.790,0.780,0.780,
,RE4.SG,GEO ENERGY RES.SG,21567.1,-4.85,0.510,0.510,0.485,0.490,
,5WV.SG,ASIAPHOS.SG,11690.2,-6.67,0.014,0.015,0.013,0.014,
