,Code,Shortname,Volume,%Chg,Open,High,Low,Last,
,A17U.SG,CAPLAND ASCENDAS REIT.SG,18216.4,+0.71,2.81,2.84,2.81,2.83,
,C38U.SG,CAPLAND INTCOM T.SG,41289.5,+2.16,2.33,2.37,2.32,2.36,
,M44U.SG,MAPLETREE LOG TR.SG,34136.5,+1.59,1.27,1.30,1.27,1.28,
,ME8U.SG,MAPLETREE IND TR.SG,7053.5,+0.47,2.14,2.16,2.14,2.15,
,AJBU.SG,KEPPEL DC REIT.SG,10577.4,+0.42,2.40,2.44,2.38,2.40,
,,FRASERS CPT TR.SG,8115.2,+0.86,2.33,2.36,2.33,2.35,
,N2IU.SG,MAPLETREE PANASIA COM TR.SG,16101.6,+0.69,1.44,1.48,1.44,1.45,
,BUOU.SG,FRASERS L&C TR.SG,22352.1,+1.57,0.955,0.975,0.955,0.970,
,K71U.SG,KEPPEL REIT.SG,8543.8,+0.98,1.02,1.04,1.02,1.03,
,JYEU.SG,LENDLEASE REIT.SG,11999.4,+0.79,0.625,0.645,0.625,0.635,
,HMN.SG,CAPLAND ASCOTT T.SG,10971.6,+1.60,0.935,0.955,0.935,0.950,
,NTDU.SG,NTT DC REIT USD.SG,2456.5,,1.01,1.01,1.00,1.01,
,8C8U.SG,CENT ACCOM REIT.SG,15952.3,+1.96,1.03,1.04,1.02,1.04,
,AU8U.SG,CAPLAND CHINA T.SG,3001.2,-0.63,0.790,0.800,0.790,0.790,
,9CI.SG,CAPITALANDINVEST.SG,11745,+1.12,2.70,2.73,2.69,2.72,
,Z25.SG,YANLORD LAND.SG,3391,+0.67,0.745,0.760,0.745,0.750,
,AWX.SG,AEM SGD.SG,8073.1,+4.92,1.86,1.93,1.86,1.92,
,E28.SG,FRENCKEN.SG,6783.9,+4.29,1.41,1.46,1.40,1.46,
,558.SG,UMS.SG,10081.1,+5.07,1.39,1.46,1.39,1.45,
,MZH.SG,NANOFILM.SG,3153.8,+1.99,0.760,0.780,0.760,0.770,
,BN2.SG,VALUETRONICS.SG,575.3,-0.59,0.845,0.855,0.835,0.845,
,Z74.SG,SINGTEL.SG,35691.1,+1.45,4.16,4.23,4.15,4.20,
,YF8.SG,YZJ FIN HLDG.SG,11157.5,+0.85,1.21,1.21,1.18,1.19,
,BS6.SG,YZJ SHIPBLDG SGD.SG,26723.6,+2.13,3.32,3.38,3.30,3.35,
,5E2.SG,SEATRIUM LTD.SG,15052.2,+1.24,2.42,2.45,2.42,2.45,
,S58.SG,SATS.SG,7455,+1.45,3.46,3.51,3.46,3.50,
,OV8.SG,SHENG SIONG.SG,3985.8,+1.44,2.10,2.12,2.08,2.12,
,F34.SG,WILMAR INTL.SG,6268.4,,2.88,2.89,2.86,2.88,
,EB5.SG,FIRST RESOURCES.SG,1321.5,+0.59,1.71,1.72,1.70,1.71,
,P8Z.SG,BUMITAMA AGRI.SG,2312.7,+1.80,1.11,1.13,1.10,1.13,
,5TP.SG,CNMC GOLDMINE.SG,5711.9,-0.86,1.15,1.17,1.13,1.15,
,C52.SG,COMFORTDELGRO.SG,14206.2,+1.39,1.44,1.47,1.44,1.46,
,G13.SG,GENTING SING.SG,34299,+0.68,0.730,0.735,0.725,0.735,
,S08.SG,SINGPOST.SG,11970.4,-1.18,0.425,0.425,0.415,0.420,
,5LY.SG,MARCOPOLO MARINE.SG,53062.8,+5.33,0.074,0.079,0.074,0.079,
,DU4.SG,MERMAID MARITIME.SG,2806.9,+2.42,0.124,0.128,0.124,0.127,
,5WH.SG,REX INTL.SG,9941.2,+0.58,0.174,0.177,0.173,0.174,
,S56.SG,SAMUDERASHIPPING.SG,670.8,+1.59,0.950,0.965,0.950,0.960,
,AP4.SG,RIVERSTONE.SG,3112.9,+0.68,0.745,0.765,0.735,0.745,
,544.SG,CSE GLOBAL.SG,1981.9,-1.34,0.750,0.750,0.735,0.735,
,G92.SG,CHINA AVIATION.SG,789.5,+1.52,1.32,1.35,1.32,1.34,
,RXS.SG,PACIFICRADIANCE.SG,6566.7,+4.81,0.103,0.109,0.103,0.109,
,41O.SG,LHN.SG,1304.9,+1.05,0.960,0.960,0.945,0.960,
,OYY.SG,PROPNEX.SG,1402.3,+1.29,2.33,2.37,2.29,2.36,
,CLN.SG,APAC REALTY.SG,196.5,-0.74,0.675,0.685,0.670,0.670,
,ER0.SG,KSH.SG,358.9,+1.35,0.370,0.375,0.370,0.375,
,1E3.SG,SANLI ENV.SG,1734.4,-1.72,0.290,0.290,0.280,0.285,
,E3B.SG,WEE HUR.SG,5592.4,+0.68,0.730,0.750,0.725,0.735,
,P52.SG,PANUNITED.SG,461.7,-0.85,1.17,1.18,1.14,1.16,
,OU8.SG,CENTURION.SG,1829.5,-0.65,1.54,1.54,1.50,1.53,
,QC7.SG,Q&M DENTAL.SG,400.3,-2.13,0.470,0.470,0.460,0.460,
,QES.SG,CHINASUNSINE.SG,176.6,+0.64,0.795,0.795,0.785,0.790,
,RE4.SG,GEO ENERGY RES.SG,38184.3,+9.57,0.475,0.520,0.475,0.515,
,5WV.SG,ASIAPHOS.SG,650.5,,0.015,0.015,0.014,0.015,
